Command,Meaning,Default
ALLOW_IMPOSTERS,"If set to 1, players with identical names are tolerated. If set to 0, all but one will be renamed.",0
ALLOW_IMPOSTORS,"If set to 1, players with identical names are tolerated. If set to 0, all but one will be renamed.",0
ALLOW_RENAME_PLAYER,Gives the given player the ability to rename.,
ALLOW_TEAM_CHANGE,"If set to 1, all players can change teams. If set to 0, players can only change teams if they've been specifically allowed to by ALLOW_TEAM_CHANGE_PLAYER",1
ALLOW_TEAM_CHANGE_PLAYER,Allow a specific player to change teams even if ALLOW_TEAM_CHANGE is disabled,
ALLOW_TEAM_NAME_COLOR,Allow a team to be named after a color,1
ALLOW_TEAM_NAME_LEADER,"Set to 1 to allow team leader to set a team, 0 otherwise.",0
ALLOW_TEAM_NAME_PLAYER,Allow a team to be named after the leading player,1
ALLOW_VOTING,"If set to 1, voting will be allowed for players.",1
ALLOW_VOTING_SPECTATOR,"If set to 1, voting will be allowed for spectators.",0
ALPHA_BLEND,Enable alpha blending,1
ARENA_AXES,"In how many directions a cycle can turn 4 is the default, 6 is hexatron",4
ARENA_AXES_OVERRIDE,Block out older clients when ARENA_AXES differs from its default?,3
ARENA_WALL_SHADOW_DIST,UNDOCUMENTED,
ARENA_WALL_SHADOW_NEAR,UNDOCUMENTED,
ARENA_WALL_SHADOW_SIDEDIST,UNDOCUMENTED,
ARENA_WALL_SHADOW_SIZE,UNDOCUMENTED,
ARMAGETRON_LAST_SCREENMODE,Last screen resolution,0
ARMAGETRON_LAST_SCREENMODE_H,UNDOCUMENTED,0
ARMAGETRON_LAST_SCREENMODE_W,UNDOCUMENTED,0
ARMAGETRON_LAST_WINDOWSIZE,Last Window size,5
ARMAGETRON_LAST_WINDOWSIZE_H,UNDOCUMENTED,480
ARMAGETRON_LAST_WINDOWSIZE_W,UNDOCUMENTED,640
ARMAGETRON_SCREENMODE,Screen resolution,0
ARMAGETRON_SCREENMODE_H,UNDOCUMENTED,0
ARMAGETRON_SCREENMODE_W,UNDOCUMENTED,0
ARMAGETRON_VSYNC,What to do with the monitor's vertical sync,1
ARMAGETRON_VSYNC_LAST,armagetron_vsync_last_help,1
ARMAGETRON_WINDOWSIZE,Window size,5
ARMAGETRON_WINDOWSIZE_H,UNDOCUMENTED,480
ARMAGETRON_WINDOWSIZE_W,UNDOCUMENTED,640
AUTHORITY_BLACKLIST,Comma separated list of authorities your server should refuse to query.,
AUTHORITY_LEVEL,Changes the access level for all users from the same authority. Mainly only useful for private authorities.,
AUTHORITY_WHITELIST,"If non-empty, only authorities on this comma separated list will be queried by your server.",
AUTO_AIS,Automatically spawn AI players?,0
AUTO_IQ,Automatically adjust AI IQ?,0
AUTO_TEAM,Flag indicating whether players should be put into teams automatically.,1
AUTO_TEAM_SPEC_SPAM,"If set to 0, spectators won't be announced when joining or leaving, provided AUTO_TEAM is set to 0.",1
AXES_INDICATOR,Should the Axis Indicator be rendered?,0
BACKWARD_COMPATIBILITY,Maximum number of old protocol versions to support.,1000
BAN,Bans the specified player from the server (kicks him first) for a variable time in minutes.,
BAN_IP,Bans the specified IP address from the server for a variable time.,
BAN_LIST,Prints a list of currently banned IPs.,
BAN_USER,Allows to ban players based on their authentication ID.,
BAN_USER_LIST,Gives a list of banned users.,
BASE_ENEMY_RESPAWN,base_enemy_respawn_help,0
BASE_RESPAWN,base_respawn_help,0
BIG_BROTHER,Did we already send the big brother information?,1
BOOKMARK_0_ADDRESS,Server address of the 1st server bookmark,
BOOKMARK_0_NAME,Name of the 1st server bookmark,
BOOKMARK_0_PORT,Server port of the 1st server bookmark,4534
BOOKMARK_10_ADDRESS,Server address of the 11th server bookmark,
BOOKMARK_10_NAME,Name of the 11th server bookmark,
BOOKMARK_10_PORT,Server port of the 11th server bookmark,4534
BOOKMARK_1_ADDRESS,Server address of the 2nd server bookmark,
BOOKMARK_1_NAME,Name of the 2nd server bookmark,
BOOKMARK_1_PORT,Server port of the 2nd server bookmark,4534
BOOKMARK_2_ADDRESS,Server address of the 3rd server bookmark,
BOOKMARK_2_NAME,Name of the 3rd server bookmark,
BOOKMARK_2_PORT,Server port of the 3rd server bookmark,4534
BOOKMARK_3_ADDRESS,Server address of the 4th server bookmark,
BOOKMARK_3_NAME,Name of the 4th server bookmark,
BOOKMARK_3_PORT,Server port of the 4th server bookmark,4534
BOOKMARK_4_ADDRESS,Server address of the 5th server bookmark,
BOOKMARK_4_NAME,Name of the 5th server bookmark,
BOOKMARK_4_PORT,Server port of the 5th server bookmark,4534
BOOKMARK_5_ADDRESS,Server address of the 6th server bookmark,
BOOKMARK_5_NAME,Name of the 6th server bookmark,
BOOKMARK_5_PORT,Server port of the 6th server bookmark,4534
BOOKMARK_6_ADDRESS,Server address of the 7th server bookmark,
BOOKMARK_6_NAME,Name of the 7th server bookmark,
BOOKMARK_6_PORT,Server port of the 7th server bookmark,4534
BOOKMARK_7_ADDRESS,Server address of the 8th server bookmark,
BOOKMARK_7_NAME,Name of the 8th server bookmark,
BOOKMARK_7_PORT,Server port of the 8th server bookmark,4534
BOOKMARK_8_ADDRESS,Server address of the 9th server bookmark,
BOOKMARK_8_NAME,Name of the 9th server bookmark,
BOOKMARK_8_PORT,Server port of the 9th server bookmark,4534
BOOKMARK_9_ADDRESS,Server address of the 10th server bookmark,
BOOKMARK_9_NAME,Name of the 10th server bookmark,
BOOKMARK_9_PORT,Server port of the 10th server bookmark,4534
BOOKMARK__MASTER0_ADDRESS,Address of the first subculture master,
BOOKMARK__MASTER0_NAME,Name of the first subculture,
BOOKMARK__MASTER0_PORT,Port of the first subculture master,4534
BOOKMARK__MASTER10_ADDRESS,Address of the 11th subculture master,
BOOKMARK__MASTER10_NAME,Name of the 11th subculture,
BOOKMARK__MASTER10_PORT,Port of the 11th subculture master,4534
BOOKMARK__MASTER1_ADDRESS,Address of the second subculture master,
BOOKMARK__MASTER1_NAME,Name of the second subculture,
BOOKMARK__MASTER1_PORT,Port of the second subculture master,4534
BOOKMARK__MASTER2_ADDRESS,Address of the 3rd subculture master,
BOOKMARK__MASTER2_NAME,Name of the 3rd subculture,
BOOKMARK__MASTER2_PORT,Port of the 3rd subculture master,4534
BOOKMARK__MASTER3_ADDRESS,Address of the 4th subculture master,
BOOKMARK__MASTER3_NAME,Name of the 4th subculture,
BOOKMARK__MASTER3_PORT,Port of the 4th subculture master,4534
BOOKMARK__MASTER4_ADDRESS,Address of the 5th subculture master,
BOOKMARK__MASTER4_NAME,Name of the 5th subculture,
BOOKMARK__MASTER4_PORT,Port of the 5th subculture master,4534
BOOKMARK__MASTER5_ADDRESS,Address of the 6th subculture master,
BOOKMARK__MASTER5_NAME,Name of the 6th subculture,
BOOKMARK__MASTER5_PORT,Port of the 6th subculture master,4534
BOOKMARK__MASTER6_ADDRESS,Address of the 7th subculture master,
BOOKMARK__MASTER6_NAME,Name of the 7th subculture,
BOOKMARK__MASTER6_PORT,Port of the 7th subculture master,4534
BOOKMARK__MASTER7_ADDRESS,Address of the 8th subculture master,
BOOKMARK__MASTER7_NAME,Name of the 8th subculture,
BOOKMARK__MASTER7_PORT,Port of the 8th subculture master,4534
BOOKMARK__MASTER8_ADDRESS,Address of the 9th subculture master,
BOOKMARK__MASTER8_NAME,Name of the 9th subculture,
BOOKMARK__MASTER8_PORT,Port of the 9th subculture master,4534
BOOKMARK__MASTER9_ADDRESS,Address of the 10th subculture master,
BOOKMARK__MASTER9_NAME,Name of the 10th subculture,
BOOKMARK__MASTER9_PORT,Port of the 10th subculture master,4534
BROWSER_CONTACTLOSS,UNDOCUMENTED,4
BROWSER_NUM_QUERIES,UNDOCUMENTED,3
BROWSER_QUERIES_SIMULTANEOUS,UNDOCUMENTED,20
BROWSER_QUERY_DELAY_GLOBAL,UNDOCUMENTED,0.025
BROWSER_QUERY_DELAY_SINGLE,UNDOCUMENTED,0.5
BROWSER_QUERY_FILTER,UNDOCUMENTED,1
BUG_COLOR_OVERFLOW,"Allows the player's colors to overflow and wrap around for the cycle, allowing different colors for cycle and trail.",1
BUG_RIP,Allows the rim wall to be ripped open by a VERY close grind.,0
BUG_TRANSPARENCY,Unsupported: make all rim walls semi-transparent by rendering them without occlusion tests,
BUG_TRANSPARENCY_DEMAND,Unsupported: use transparency instead of lowering walls,
BUG_TUNNEL,Allows players to pass through walls on odd occasions.,0
CAMERA_CUSTOM_BACK,Position of the custom camera: how much is it moved back from the cycle?,6
CAMERA_CUSTOM_BACK_FROMSPEED,This value is multiplied with the current speed and added to CAMERA_CUSTOM_BACK.,0.5
CAMERA_CUSTOM_PITCH,Position of the custom camera: how much does it look up/down?,-0.58
CAMERA_CUSTOM_RISE,Position of the custom camera: how much is it moved up from the cycle?,4
CAMERA_CUSTOM_RISE_FROMSPEED,This value is multiplied with the current speed and added to CAMERA_CUSTOM_RISE.,0.4
CAMERA_CUSTOM_TURN_SPEED,Speed the custom camera turns with,4
CAMERA_CUSTOM_TURN_SPEED_180,Extra factor to CAMERA_CUSTOM_TURN_SPEED after a quick reverse,4
CAMERA_CUSTOM_ZOOM,Position of the custom camera: how much the camera zooms in your cycle at the beginning of the round (to show the team's formation,0
CAMERA_EYE_1_COLOR,"The color mask of the first eye of the camera. 1 is red, 2 is green, 4 is blue, any sum of these values means more than one color",1
CAMERA_EYE_1_COLOUR,camera_eye_1_colour_help,1
CAMERA_EYE_2_COLOR,"The color mask of the second eye of the camera. 1 is red, 2 is green, 4 is blue, any sum of these values means more than one color",6
CAMERA_EYE_2_COLOUR,camera_eye_2_colour_help,6
CAMERA_EYE_DISTANCE,The distance between the two eyes of the camera. Set this to 0 to disable 3D rendering,0
CAMERA_FOLLOW_START_X,Start position of the fixed external camera,-30
CAMERA_FOLLOW_START_Y,Start position of the fixed external camera,-30
CAMERA_FOLLOW_START_Z,Start position of the fixed external camera,80
CAMERA_FORBID_CUSTOM,Forbids the use of the custom camera on all clients,0
CAMERA_FORBID_FOLLOW,Forbids the use of the fixed external camera on all clients,0
CAMERA_FORBID_FREE,Forbids the use of the free camera on all clients,0
CAMERA_FORBID_IN,Forbids the use of the internal camera on all clients,0
CAMERA_FORBID_MER,Forbids the use of Meriton's camera,0
CAMERA_FORBID_SERVER_CUSTOM,Forbids the use of the server custom camera,1
CAMERA_FORBID_SMART,Forbids the use of the internal camera on all clients,0
CAMERA_FREE_START_X,Start position of the free camera,10
CAMERA_FREE_START_Y,Start position of the free camera,-70
CAMERA_FREE_START_Z,Start position of the free camera,100
CAMERA_GLANCE_ANGULAR_VELOCITY,camera_glance_angular_velocity_help,12.5664
CAMERA_GLANCE_ANGULAR_VELOCITY_BONUS,camera_glance_angular_velocity_bonus_help,12
CAMERA_GLANCE_MODE,Way the camera switches into glances. Valid settings range from 0 to 3,0
CAMERA_GLANCE_RETURN,"If you release all glance keys and this is set, the order to glance forward directly into the direction you're driving in is issued. This can return the view back to normal faster than if you leave it up to the default camera code.",1
CAMERA_GLANCE_RETURN_STOP,Cosine of the angle between driving direction and glance direction the return glance command is aborted at and control is returned to the normal (non-smart) camera.,0.99
CAMERA_GLANCE_RETURN_STOP_SMART,When the smart camera is used: cosine of the angle between driving direction and glance direction the return glance command is aborted at and control is returned to the normal camera.,0
CAMERA_GLANCE_SNAP,"If the cosine between the desired and current glance direction is smaller than this, the glance snaps directly to the desired target, irrespective of CAMERA_GLANCE_MODE.",-0.5
CAMERA_GLANCE_STACKING,"If this is set, glances stack, glance directions are relative to the current view then.",0
CAMERA_IN_MAX_FOCUS_DISTANCE,"This, multiplied by the current speed, determines the maximum distance of the focus of the two eyes unless a wall is closer",0.5
CAMERA_IN_TURN_SPEED,Speed the internal camera turns with,40
CAMERA_MER_XYDIST,camera_mer_xydist_help,20
CAMERA_MER_Z,camera_mer_z_help,16
CAMERA_SERVER_CUSTOM_BACK,Position of the custom camera: how much is it moved back from the cycle?,30
CAMERA_SERVER_CUSTOM_BACK_FROMSPEED,This value is multiplied with the current speed and added to CAMERA_SERVER_CUSTOM_BACK.,0
CAMERA_SERVER_CUSTOM_PITCH,Position of the custom camera: how much does it look up/down?,-0.7
CAMERA_SERVER_CUSTOM_RISE,Position of the custom camera: how much is it moved up from the cycle?,20
CAMERA_SERVER_CUSTOM_RISE_FROMSPEED,This value is multiplied with the current speed and added to CAMERA_SERVER_CUSTOM_RISE.,0
CAMERA_SERVER_CUSTOM_TURN_SPEED,Speed the server custom camera turns with. Turn values are taken from the clientside settings if this is negative.,-1
CAMERA_SERVER_CUSTOM_TURN_SPEED_180,Extra factor to CAMERA_SERVER_CUSTOM_TURN_SPEED after a quick reverse,4
CAMERA_SMART_AVOID_FRONT,UNDOCUMENTED,10
CAMERA_SMART_AVOID_FRONT2,UNDOCUMENTED,0.1
CAMERA_SMART_CENTER_DIR_SMOOTH,UNDOCUMENTED,3
CAMERA_SMART_CENTER_LOOKAHEAD,UNDOCUMENTED,0.5
CAMERA_SMART_CENTER_MAX_LOOKAHEAD,UNDOCUMENTED,5
CAMERA_SMART_CENTER_POS_SMOOTH,UNDOCUMENTED,6
CAMERA_SMART_CYCLESPEED,UNDOCUMENTED,20
CAMERA_SMART_DISTANCE,UNDOCUMENTED,4
CAMERA_SMART_DISTANCESCALE,UNDOCUMENTED,0.2
CAMERA_SMART_GLANCING_BACK,camera_smart_glancing_back_help,20
CAMERA_SMART_GLANCING_HEIGHT,camera_smart_glancing_height_help,10
CAMERA_SMART_HEIGHT,UNDOCUMENTED,2
CAMERA_SMART_HEIGHT_EXTRA,UNDOCUMENTED,0.5
CAMERA_SMART_HEIGHT_GRINDING,UNDOCUMENTED,0
CAMERA_SMART_HEIGHT_OBSTACLE,UNDOCUMENTED,1
CAMERA_SMART_HEIGHT_TURNING,UNDOCUMENTED,0.5
CAMERA_SMART_MIN_DISTANCE,UNDOCUMENTED,10
CAMERA_SMART_MIN_DISTANCESCALE,UNDOCUMENTED,5
CAMERA_SMART_START_X,Start position of the smart camera,10
CAMERA_SMART_START_Y,Start position of the smart camera,30
CAMERA_SMART_START_Z,Start position of the smart camera,2
CAMERA_SMART_TURN_GRINDING,UNDOCUMENTED,5
CAMERA_VISIBILITY_CLIP_SPEED,Speed with which the visibility targets is brought into view,40
CAMERA_VISIBILITY_EXTENSION,"Distance (measured in seconds, gets multiplied by speed) of the visibility targets from the watched object",1
CAMERA_VISIBILITY_LOWER_WALL,"If set to 1, walls are lowered when they block the view and the camera is not moved",1
CAMERA_VISIBILITY_LOWER_WALL_SMART,"Like CAMERA_VISIBILITY_LOWER_WALL, but special setting for the smart camera",0
CAMERA_VISIBILITY_RECOVERY_SPEED,The speed the external visibility targets recovers from wall hits,1
CAMERA_VISIBILITY_SIDESKEW,Extra forward component of the sideways visibility targets,0.5
CAMERA_VISIBILITY_WALL_DISTANCE,The distance the visibility targets keep from walls,0.5
CASACL,"For the duration of the rest of the configuration file thiss directive appears in, elevate the access level.",
CENTER_MESSAGE,Prints a big message on the screen of all connected clients.,
CHATBOT_ALWAYS_ACTIVE,"if set to 1, the chatbot is active all of the time",0
CHATBOT_DECAY,rate at which the quality of the chatbot decays over time,0.02
CHATBOT_DELAY,time between entering chat and chatbot activation,0.5
CHATBOT_MIN_TIMESTEP,minimal time in seconds between chatbot thoughts,0.3
CHATBOT_NEW_WALL_BLINDNESS,the chatbot won't see walls that were bult less than this many seconds ago,0.3
CHATBOT_RANGE,time in seconds the bot is capable of planning ahead,1
CHATTER_REMOVE_TIME,Time in seconds after which a permanent chatter is removed from the game,180
CHAT_LOG,Write machine parsable chat messages to var/chatlog.txt,0
CHAT_TOOLTIP,chat_tooltip_help,1 1 1 1 1
CHECK_ERRORS,Listen to errors claiming a video mode does not exist,1
CLIENT_PORT,Port we try to connect to,4534
COLORDEPTH,Color depth to use (0: 16 1: desktop 2: 24),1
COLOR_STRINGS,Print colored strings,1
CONFIG_ROTATION,"A list of config files to rotate through, with values separated by semicolons",
CONSOLE_DECORATE_ID,Decorates every line of console output with the client ID,1
CONSOLE_DECORATE_IP,Decorates every line of console output with the client IP,0
CONSOLE_DECORATE_TIMESTAMP,Decorates every line of console output with the current date and time,0
CONSOLE_LADDER_LOG,Sends ladder log output to the console,0
CONSOLE_MESSAGE,Prints a message on the console of all connected clients.,
CONSOLE_ROWS,Number of lines of console output without user intervention,5
CONSOLE_ROWS_MAX,Number of lines of console output when scrolling back,19
CUSTOM_MUSIC_PLAYLIST,custom_music_playlist_help,
CUSTOM_SCREEN_ASPECT,Custom screen aspect ratio ( pixel width/pixel height),1
CUSTOM_SCREEN_HEIGHT,Custom screen size,200
CUSTOM_SCREEN_WIDTH,Custom screen size,320
CUSTOM_SERVER_NAME,Name of the server to connect to,
CYCLE_ACCEL,Wall acceleration factor,10
CYCLE_ACCEL_ENEMY,Multiplicator to CYCLE_ACCEL for your enemies' walls,1
CYCLE_ACCEL_ENEMY_OVERRIDE,Block out older clients when CYCLE_ACCEL_ENEMY differs from its default?,3
CYCLE_ACCEL_OFFSET,"Minimum numeric wall distance, must be positive",2
CYCLE_ACCEL_RIM,Multiplicator to CYCLE_ACCEL for the rim walls,0
CYCLE_ACCEL_RIM_OVERRIDE,Block out older clients when CYCLE_ACCEL_RIM differs from its default?,3
CYCLE_ACCEL_SELF,Multiplicator to CYCLE_ACCEL for your own wall,1
CYCLE_ACCEL_SELF_OVERRIDE,Block out older clients when CYCLE_ACCEL_SELF differs from its default?,3
CYCLE_ACCEL_SLINGSHOT,"Multiplicator to the total effect of CYCLE_ACCEL, if the cycle is between its own wall and another wall",1
CYCLE_ACCEL_SLINGSHOT_OVERRIDE,Block out older clients when CYCLE_ACCEL_SLINGSHOT differs from its default?,3
CYCLE_ACCEL_TEAM,Multiplicator to CYCLE_ACCEL for your teammates' walls,1
CYCLE_ACCEL_TEAM_OVERRIDE,Block out older clients when CYCLE_ACCEL_TEAM differs from its default?,3
CYCLE_ACCEL_TUNNEL,"Multiplicator to the total effect of CYCLE_ACCEL, if the cycle is between two walls not created by it",1
CYCLE_ACCEL_TUNNEL_OVERRIDE,Block out older clients if CYCLE_ACCEL_TUNNEL differs from its default?,3
CYCLE_AVOID_OLDCLIENT_BAD_SYNC,"If set to 1, old clients will not get sync messages in situations that are known to confuse them",0
CYCLE_BLINK_FREQUENCY,Frequency in Hz an invulnerable cycle blinks with.,10
CYCLE_BOOSTFACTOR_ENEMY,Factor your speed is multiplied with when breaking from an enemy wall,1
CYCLE_BOOSTFACTOR_ENEMY_OVERRIDE,Block out older clients if CYCLE_BOOSTFACTOR_ENEMY differs from its default?,3
CYCLE_BOOSTFACTOR_RIM,Factor your speed is multiplied with when breaking from the rim wall,1
CYCLE_BOOSTFACTOR_RIM_OVERRIDE,Block out older clients if CYCLE_BOOSTFACTOR_RIM differs from its default?,3
CYCLE_BOOSTFACTOR_SELF,Factor your speed is multiplied with when breaking from your own wall,1
CYCLE_BOOSTFACTOR_SELF_OVERRIDE,Block out older clients if CYCLE_BOOSTFACTOR_SELF differs from its default?,3
CYCLE_BOOSTFACTOR_TEAM,Factor your speed is multiplied with when breaking from a teammate's wall,1
CYCLE_BOOSTFACTOR_TEAM_OVERRIDE,Block out older clients if CYCLE_BOOSTFACTOR_TEAM differs from its default?,3
CYCLE_BOOST_ENEMY,Speed boost when breaking from an enemy wall,0
CYCLE_BOOST_ENEMY_OVERRIDE,Block out older clients if CYCLE_BOOST_ENEMY differs from its default?,3
CYCLE_BOOST_RIM,Speed boost when breaking from the rim wall,0
CYCLE_BOOST_RIM_OVERRIDE,Block out older clients if CYCLE_BOOST_RIM differs from its default?,3
CYCLE_BOOST_SELF,Speed boost when breaking from your own wall,0
CYCLE_BOOST_SELF_OVERRIDE,Block out older clients if CYCLE_BOOST_SELF differs from its default?,3
CYCLE_BOOST_TEAM,Speed boost when breaking from a teammate's wall,0
CYCLE_BOOST_TEAM_OVERRIDE,Block out older clients if CYCLE_BOOST_TEAM differs from its default?,3
CYCLE_BRAKE,Brake intensity,30
CYCLE_BRAKE_DEPLETE,Rate at which the brake reservoir depletes when you are braking,1
CYCLE_BRAKE_DEPLETE_OVERRIDE,Block out older clients when CYCLE_BRAKE_DEPLETE differs from its default?,3
CYCLE_BRAKE_REFILL,Rate at which the brake reservoir refills when you are not braking,0.1
CYCLE_BRAKE_REFILL_OVERRIDE,Block out older clients when CYCLE_BRAKE_REFILL differs from its default?,3
CYCLE_BRAKE_TOOLTIP,cycle_brake_tooltip_help,1 1 1 1 1
CYCLE_DELAY,Minimum time between turns (must be greater than 0),0.1
CYCLE_DELAY_BONUS,Extra fudge factor to CYCLE_DELAY applied on the dedicated server only.,0.95
CYCLE_DELAY_DOUBLEBIND_BONUS,Factor CYCLE_DELAY is multiplied with for consecutive turns in the same direction,1
CYCLE_DELAY_DOUBLEBIND_BONUS_OVERRIDE,Block out older clients if CYCLE_DELAY_DOUBLEBIND_BONUS differs from its default?,3
CYCLE_DELAY_TIMEBASED,Turn delays will be based on the time since the last turn if this is 1 (default) and the distance if this is 0. Intermediate values and values out of these bounds are supported as well.,1
CYCLE_DELAY_TIMEBASED_OVERRIDE,Block out older clients when CYCLE_DELAY_TIMEBASED differs from its default?,3
CYCLE_DIST_WALL_SHRINK,Distance multiplier in wall length calculation. All values are legal. See settings.cfg for full docs.,0
CYCLE_DIST_WALL_SHRINK_OFFSET,Distance offset in wall length calculation. See settings.cfg for full docs.,0
CYCLE_DIST_WALL_SHRINK_OFFSET_OVERRIDE,UNDOCUMENTED,3
CYCLE_DIST_WALL_SHRINK_OVERRIDE,UNDOCUMENTED,3
CYCLE_FAIR_ANTILAG,"If set to 1, this deactivates the anti lag-sliding code when old clients are connected",1
CYCLE_FIRST_SPAWN_PROTECTION,Set to 1 if the invulnerability and wall delay should already be active on the initial spawn at the beginning of a round.,0
CYCLE_FIRST_SPAWN_PROTECTION_OVERRIDE,UNDOCUMENTED,3
CYCLE_INVULNERABLE_TIME,Time in seconds a cycle is invulnerable after a respawn.,0
CYCLE_INVULNERABLE_TIME_OVERRIDE,UNDOCUMENTED,3
CYCLE_MAX_REFCOUNT,Maximum allowed reference count on cycles before they self destruct. This setting is to protect against performance related DOS attacks.,30000
CYCLE_MIN_WALLDROP_INTERVAL,UNDOCUMENTED,0.05
CYCLE_PACKETLOSS_TOLERANCE,Cycle death is prevented as long as the player's failure to turn can be explained by the loss of this many network packets. Enabling this allows cheating.,0
CYCLE_PACKETMISS_TOLERANCE,UNDOCUMENTED,3
CYCLE_PING_RUBBER,Additional niceness for high ping players,3
CYCLE_RUBBER,Niceness factor to allow you drive really close to a wall,1
CYCLE_RUBBER_DELAY,"During this fraction of the cycle delay time after each turn, rubber efficiency will be multiplied with CYCLE_RUBBER_DELAY_BONUS.",0
CYCLE_RUBBER_DELAY_BONUS,Factor for CYCLE_RUBBER_DELAY rubber efficiency.,0.5
CYCLE_RUBBER_DELAY_BONUS_OVERRIDE,Block out older clients when CYCLE_RUBBER_DELAY_BONUS differs from its default?,3
CYCLE_RUBBER_DELAY_OVERRIDE,Block out older clients when CYCLE_RUBBER_DELAY differs from its default?,3
CYCLE_RUBBER_LEGACY,"Revert to old, framerate dependant and old-clients-ripping, rubber code if old clients are present. Old means <= 0.2.7.0 here.",0
CYCLE_RUBBER_MALUS_TIME,UNDOCUMENTED,5
CYCLE_RUBBER_MALUS_TURN,UNDOCUMENTED,0
